,open,close,high,low,value,volume,begin,end
0,557.0,557.0,557.0,557.0,4145194.0,7442.0,2024-06-03 09:50:00,2024-06-03 09:59:59
1,557.2,560.5,563.85,557.2,120624232.19999999,214817.0,2024-06-03 10:00:00,2024-06-03 10:09:59
2,560.5,563.0,563.0,560.0,48493940.35000001,86347.0,2024-06-03 10:10:00,2024-06-03 10:19:59
3,563.0,562.4,564.7,562.2,75366727.55000003,133768.0,2024-06-03 10:20:00,2024-06-03 10:29:59
4,562.4,561.75,563.35,560.25,64788645.75000001,115334.0,2024-06-03 10:30:00,2024-06-03 10:39:59
5,561.75,560.45,562.25,558.75,110122832.49999999,196434.0,2024-06-03 10:40:00,2024-06-03 10:49:59
6,560.4,560.6,561.0,557.65,81740874.4,146059.0,2024-06-03 10:50:00,2024-06-03 10:59:59
7,560.6,560.8,562.1,560.45,49564452.400000006,88294.0,2024-06-03 11:00:00,2024-06-03 11:09:59
8,560.6,559.95,562.1,559.2,49574914.15000001,88439.0,2024-06-03 11:10:00,2024-06-03 11:19:59
9,559.7,560.35,560.75,559.0,45680063.800000004,81601.0,2024-06-03 11:20:00,2024-06-03 11:29:59
10,560.35,560.35,560.55,559.5,23293886.249999996,41592.0,2024-06-03 11:30:00,2024-06-03 11:39:59
11,560.35,559.15,560.7,559.0,33314726.25000001,59497.0,2024-06-03 11:40:00,2024-06-03 11:49:59
12,559.05,556.8,559.05,556.7,67735105.80000003,121516.0,2024-06-03 11:50:00,2024-06-03 11:59:59
13,556.8,554.55,556.8,554.1,106081691.69999996,191098.0,2024-06-03 12:00:00,2024-06-03 12:09:59
14,554.5,552.05,554.9,550.15,183438185.55000004,332503.0,2024-06-03 12:10:00,2024-06-03 12:19:59
15,552.05,551.5,552.85,551.25,82530100.55000001,149492.0,2024-06-03 12:20:00,2024-06-03 12:29:59
16,551.45,550.7,553.1,550.7,103471074.49999997,187443.0,2024-06-03 12:30:00,2024-06-03 12:39:59
17,550.7,551.4,552.35,550.05,56666964.999999985,102871.0,2024-06-03 12:40:00,2024-06-03 12:49:59
18,551.35,553.0,553.2,550.0,77770802.05000003,140999.0,2024-06-03 12:50:00,2024-06-03 12:59:59
19,552.95,553.7,553.95,552.0,67900765.59999996,122771.0,2024-06-03 13:00:00,2024-06-03 13:09:59
20,553.7,551.65,554.8,551.45,47238938.55,85401.0,2024-06-03 13:10:00,2024-06-03 13:19:59
21,551.7,550.5,551.75,550.5,36006577.05,65300.0,2024-06-03 13:20:00,2024-06-03 13:29:59
22,550.5,545.9,550.55,545.8,159930555.95000014,292026.0,2024-06-03 13:30:00,2024-06-03 13:39:59
23,545.9,544.0,547.7,543.5,115971472.14999999,212401.0,2024-06-03 13:40:00,2024-06-03 13:49:59
24,543.8,547.0,547.65,543.1,77978389.35000002,142945.0,2024-06-03 13:50:00,2024-06-03 13:59:59
25,547.0,548.35,548.8,546.8,84267921.55000003,153760.0,2024-06-03 14:00:00,2024-06-03 14:09:59
26,548.3,550.05,553.2,548.05,86773118.5,157642.0,2024-06-03 14:10:00,2024-06-03 14:19:59
27,549.75,547.25,550.0,544.95,110152354.89999999,201507.0,2024-06-03 14:20:00,2024-06-03 14:29:59
28,547.25,544.35,547.5,543.7,64750489.25,118876.0,2024-06-03 14:30:00,2024-06-03 14:39:59
29,544.3,544.0,545.55,543.0,65337584.0,120055.0,2024-06-03 14:40:00,2024-06-03 14:49:59
30,544.05,544.5,544.8,542.5,112512855.05000006,207023.0,2024-06-03 14:50:00,2024-06-03 14:59:59
31,544.5,549.45,549.5,544.0,74482766.20000003,136183.0,2024-06-03 15:00:00,2024-06-03 15:09:59
32,549.4,551.1,553.0,549.25,79509212.65000002,144270.0,2024-06-03 15:10:00,2024-06-03 15:19:59
33,551.1,552.65,552.85,550.0,45053886.69999998,81744.0,2024-06-03 15:20:00,2024-06-03 15:29:59
34,552.65,551.0,553.9,551.0,46046754.14999998,83330.0,2024-06-03 15:30:00,2024-06-03 15:39:59
35,551.0,551.2,552.0,551.0,28322208.25,51369.0,2024-06-03 15:40:00,2024-06-03 15:49:59
36,551.15,552.9,553.0,551.15,28761244.75,52061.0,2024-06-03 15:50:00,2024-06-03 15:59:59
37,552.9,551.95,552.9,550.65,38715041.800000004,70178.0,2024-06-03 16:00:00,2024-06-03 16:09:59
38,552.0,556.3,556.45,551.9,42490272.499999985,76713.0,2024-06-03 16:10:00,2024-06-03 16:19:59
39,556.45,557.4,557.85,554.55,44625602.95000001,80251.0,2024-06-03 16:20:00,2024-06-03 16:29:59
40,557.3,558.0,558.25,556.25,64498470.90000003,115728.0,2024-06-03 16:30:00,2024-06-03 16:39:59
41,557.95,558.2,559.85,557.95,114829651.0,205484.0,2024-06-03 16:40:00,2024-06-03 16:49:59
42,558.2,557.45,559.1,556.8,93790533.40000002,168056.0,2024-06-03 16:50:00,2024-06-03 16:59:59
43,557.2,557.75,558.65,556.9,56177269.449999996,100719.0,2024-06-03 17:00:00,2024-06-03 17:09:59
44,557.75,555.0,558.1,549.8,100388646.99999999,181013.0,2024-06-03 17:10:00,2024-06-03 17:19:59
45,555.0,559.2,559.3,554.9,72408049.85,129889.0,2024-06-03 17:20:00,2024-06-03 17:29:59
46,559.2,558.0,559.8,557.85,55816454.45,99886.0,2024-06-03 17:30:00,2024-06-03 17:39:59
47,558.0,559.5,559.5,557.95,77545030.5,138772.0,2024-06-03 17:40:00,2024-06-03 17:49:59
48,559.5,559.75,559.75,559.45,76963976.04999998,137537.0,2024-06-03 17:50:00,2024-06-03 17:59:59
49,559.75,558.45,559.75,558.4,65125674.35000003,116460.0,2024-06-03 18:00:00,2024-06-03 18:09:59
50,558.45,559.6,559.65,558.3,36812154.55000004,65862.0,2024-06-03 18:10:00,2024-06-03 18:19:59
51,559.65,559.7,559.7,558.5,53119837.39999999,94984.0,2024-06-03 18:20:00,2024-06-03 18:29:59
52,559.7,560.85,561.45,559.65,93174028.25,166218.0,2024-06-03 18:30:00,2024-06-03 18:39:59
53,559.7,559.7,559.7,559.7,17485587.69999999,31241.0,2024-06-03 18:40:00,2024-06-03 18:49:59
